pop,chromosome,window_pos_1,window_pos_2,avg_pi,no_sites,count_diffs,count_comparisons,count_missing
Salish,Scaffold_1__1_contigs__length_31190920,1,15000,0.1659634317862166,18,590,3555,66
B_SPWA,Scaffold_1__1_contigs__length_31190920,1,15000,0.1759259259259259,18,380,2160,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,1,15000,0.19351506264996,18,5807,30008,32
Salish,Scaffold_1__1_contigs__length_31190920,15001,30000,0.022188562139796,516,3003,135340,320
B_SPWA,Scaffold_1__1_contigs__length_31190920,15001,30000,0.0208851960816009,516,1292,61862,4
E_NCCA,Scaffold_1__1_contigs__length_31190920,15001,30000,0.0212652639901607,516,19365,910640,48
E_NCCA,Scaffold_1__1_contigs__length_31190920,30001,45000,0.0188648258823697,475,15852,840294,8
B_SPWA,Scaffold_1__1_contigs__length_31190920,30001,45000,0.0206666666666666,475,1178,57000,0
Salish,Scaffold_1__1_contigs__length_31190920,30001,45000,0.0191095167101503,475,2461,128784,104
Salish,Scaffold_1__1_contigs__length_31190920,45001,60000,0.0288446446035521,629,4778,165646,356
B_SPWA,Scaffold_1__1_contigs__length_31190920,45001,60000,0.0280074191838897,629,2114,75480,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,45001,60000,0.0313246431725105,629,34871,1113213,2
E_NCCA,Scaffold_1__1_contigs__length_31190920,60001,75000,0.0217564048558189,710,27270,1253424,56
B_SPWA,Scaffold_1__1_contigs__length_31190920,60001,75000,0.0209976525821596,710,1789,85200,0
Salish,Scaffold_1__1_contigs__length_31190920,60001,75000,0.0212995717743436,710,4004,187985,358
Salish,Scaffold_1__1_contigs__length_31190920,75001,90000,0.0208144101730909,606,3254,156334,500
B_SPWA,Scaffold_1__1_contigs__length_31190920,75001,90000,0.0223734873487348,606,1627,72720,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,75001,90000,0.0188899440830041,606,20249,1071946,12
E_NCCA,Scaffold_1__1_contigs__length_31190920,90001,105000,0.0320951848796885,637,36187,1127490,0
B_SPWA,Scaffold_1__1_contigs__length_31190920,90001,105000,0.0289769754055468,637,2215,76440,0
Salish,Scaffold_1__1_contigs__length_31190920,90001,105000,0.0318822164843299,637,5470,171569,190
Salish,Scaffold_1__1_contigs__length_31190920,105001,120000,0.0151004684500879,1173,4500,298004,1192
B_SPWA,Scaffold_1__1_contigs__length_31190920,105001,120000,0.0189613526570048,1173,2669,140760,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,105001,120000,0.017665891229658,1173,36656,2074959,22
B_SPWA,Scaffold_1__1_contigs__length_31190920,120001,135000,0.0155438311688311,1232,2298,147840,0
Salish,Scaffold_1__1_contigs__length_31190920,120001,135000,0.0139621277285363,1232,4480,320868,864
E_NCCA,Scaffold_1__1_contigs__length_31190920,120001,135000,0.0139997263059477,1232,30486,2177614,52
E_NCCA,Scaffold_1__1_contigs__length_31190920,135001,150000,0.0353592088972377,1274,79509,2248608,112
B_SPWA,Scaffold_1__1_contigs__length_31190920,135001,150000,0.0371991104133961,1274,5687,152880,0
Salish,Scaffold_1__1_contigs__length_31190920,135001,150000,0.0342991442473068,1274,11427,333157,830
Salish,Scaffold_1__1_contigs__length_31190920,150001,165000,0.0411538760134123,1017,11132,270497,462
B_SPWA,Scaffold_1__1_contigs__length_31190920,150001,165000,0.042608980662078,1017,5200,122040,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,150001,165000,0.0380745777178147,1017,68520,1799626,8
Salish,Scaffold_1__1_contigs__length_31190920,165001,180000,0.0313992823883371,1254,10405,331377,662
B_SPWA,Scaffold_1__1_contigs__length_31190920,165001,180000,0.0329412546517809,1254,4957,150480,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,165001,180000,0.0312970635076663,1254,69409,2217748,32
E_NCCA,Scaffold_1__1_contigs__length_31190920,180001,195000,0.0490235783448051,1272,109791,2239555,210
B_SPWA,Scaffold_1__1_contigs__length_31190920,180001,195000,0.049672431865828,1272,7582,152640,0
Salish,Scaffold_1__1_contigs__length_31190920,180001,195000,0.0518507579323691,1272,16853,325029,1190
Salish,Scaffold_1__1_contigs__length_31190920,195001,210000,0.0510101562393209,1097,14927,292628,456
