chromosome	chromo.num
Scaffold_1__1_contigs__length_31190920	1
Scaffold_2__1_contigs__length_29129875	2
Scaffold_3__1_contigs__length_28514239	3
Scaffold_4__1_contigs__length_25923471	4
Scaffold_5__2_contigs__length_41286373	5
Scaffold_6__2_contigs__length_28270057	6
Scaffold_7__1_contigs__length_24029931	7
Scaffold_8__1_contigs__length_23786643	8
Scaffold_9__1_contigs__length_23638711	9
Scaffold_10__1_contigs__length_22770504	10
Scaffold_11__1_contigs__length_22126293	11
Scaffold_12__1_contigs__length_20882164	12
Scaffold_13__1_contigs__length_20878377	13
Scaffold_14__1_contigs__length_20787277	14
Scaffold_15__1_contigs__length_20507969	15
Scaffold_16__1_contigs__length_16627254	16
Scaffold_17__1_contigs__length_16560186	17
Scaffold_18__1_contigs__length_15428991	18
Scaffold_19__1_contigs__length_14744074	19
Scaffold_20__1_contigs__length_14668991	20
Scaffold_21__1_contigs__length_14635796	21
Scaffold_22__1_contigs__length_12986027	22
